"id"	"parent_id/id"	"parent_persentage"	"name"	"tilt_azimuth_ids/id"	"zip_id/id"
				"tilt_azimuth_388"	
				"tilt_azimuth_389"	
				"tilt_azimuth_390"	
				"tilt_azimuth_391"	
				"tilt_azimuth_392"	
				"tilt_azimuth_393"	
				"tilt_azimuth_394"	
				"tilt_azimuth_395"	
				"tilt_azimuth_396"	
				"tilt_azimuth_397"	
				"tilt_azimuth_398"	
				"tilt_azimuth_399"	
				"tilt_azimuth_400"	
				"tilt_azimuth_401"	
				"tilt_azimuth_402"	
				"tilt_azimuth_403"	
				"tilt_azimuth_404"	
				"tilt_azimuth_405"	
				"tilt_azimuth_406"	
				"tilt_azimuth_407"	
				"tilt_azimuth_408"	
				"tilt_azimuth_409"	
				"tilt_azimuth_410"	
				"tilt_azimuth_411"	
				"tilt_azimuth_412"	
				"tilt_azimuth_413"	
				"tilt_azimuth_414"	
				"tilt_azimuth_415"	
				"tilt_azimuth_416"	
				"tilt_azimuth_417"	
				"tilt_azimuth_418"	
				"tilt_azimuth_419"	
				"tilt_azimuth_420"	
				"tilt_azimuth_421"	
				"tilt_azimuth_422"	
				"tilt_azimuth_423"	
				"tilt_azimuth_424"	
				"tilt_azimuth_425"	
				"tilt_azimuth_426"	
				"tilt_azimuth_427"	
				"tilt_azimuth_428"	
				"tilt_azimuth_429"	
				"tilt_azimuth_430"	
				"tilt_azimuth_431"	
				"tilt_azimuth_432"	
"insolation_incident_yearly_4"			"San Diego"	"tilt_azimuth_433"	
				"tilt_azimuth_434"	
				"tilt_azimuth_435"	
				"tilt_azimuth_436"	
				"tilt_azimuth_437"	
				"tilt_azimuth_438"	
				"tilt_azimuth_439"	
				"tilt_azimuth_440"	
				"tilt_azimuth_441"	
				"tilt_azimuth_442"	
				"tilt_azimuth_443"	
				"tilt_azimuth_444"	
				"tilt_azimuth_445"	
				"tilt_azimuth_446"	
				"tilt_azimuth_447"	
				"tilt_azimuth_448"	
				"tilt_azimuth_449"	
				"tilt_azimuth_450"	
				"tilt_azimuth_451"	
				"tilt_azimuth_452"	
				"tilt_azimuth_453"	
				"tilt_azimuth_454"	
				"tilt_azimuth_455"	
				"tilt_azimuth_456"	
				"tilt_azimuth_457"	
				"tilt_azimuth_458"	
